time="2025-09-13T23:40:20-05:00" level=info msg="Visualization available at: http://localhost:4000/#/local"
time="2025-09-13T23:40:21-05:00" level=info msg="Commit recibido: HEAD"
time="2025-09-13T23:40:21-05:00" level=info msg="[Handler] Inicio Handler para proyecto: /home/shinji/Escritorio/Proyectos/kubernetes"
time="2025-09-13T23:40:21-05:00" level=info msg="[Handler] Branch: master, Commit: HEAD"
time="2025-09-13T23:40:21-05:00" level=info msg="[Handler] MongoDB habilitado, listando commits"
time="2025-09-13T23:40:21-05:00" level=info msg="[Handler] Creando Analyzer para path: /home/shinji/Escritorio/Proyectos/kubernetes"
time="2025-09-13T23:40:21-05:00" level=info msg="Fetching project: /home/shinji/Escritorio/Proyectos/kubernetes, branch: master, commit: HEAD"
time="2025-09-13T23:40:21-05:00" level=info msg="Creating analyzer for package: /home/shinji/Escritorio/Proyectos/kubernetes, branch: master, commit: HEAD"
time="2025-09-13T23:40:21-05:00" level=info msg="[Handler] Analizando paquete local/fetch: /home/shinji/Escritorio/Proyectos/kubernetes"
time="2025-09-13T23:40:21-05:00" level=info msg="Analizando paquete: /home/shinji/Escritorio/Proyectos/kubernetes"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Iniciando análisis en: /home/shinji/Escritorio/Proyectos/kubernetes"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #1: /home/shinji/Escritorio/Proyectos/kubernetes/build/pause/windows/wincat/wincat.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #2: /home/shinji/Escritorio/Proyectos/kubernetes/build/tools.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #3: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/gce/gci/apiserver_etcd_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #4: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/gce/gci/apiserver_kms_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #5: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/gce/gci/append_or_replace_prefixed_line_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #6: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/gce/gci/audit_policy_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #7: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/gce/gci/configure_helper_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #8: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/gce/gci/mounter/mounter.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #9: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/copy_file.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #10: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/data_dir.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #11: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/data_dir_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #12: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/integration_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #13: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/migrate.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #14: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/migrate_client.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #15: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/migrate_server.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #16: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/migrator.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #17: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/options.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #18: /home/shinji/Escritorio/Proyectos/kubernetes/cluster/images/etcd/migrate/options_test.go"
